title,url,note
Hackschooling makes me happy — Logan LaPlante (TEDx),https://www.youtube.com/watch?v=h11u3vtcpaY,youth voice — self-directed learning framing
Sudbury Schools: #22 Downsides,https://www.youtube.com/watch?v=Jf0iwyE_DjU,"2005 — students, staff, parents, alumni"
Sudbury School — self-directed education,https://www.youtube.com/watch?v=rWt_cWw0VyE,
Sudbury School — What If,https://www.youtube.com/watch?v=kqrxiM5bc9k,
Introduction to Sudbury Valley School,https://www.youtube.com/watch?v=bIL5fADp27k,former students on experience
Sudbury Valley School: focus and intensity,https://www.youtube.com/watch?v=z43XCGBZ5RQ,student perspective
Good students & bad students — two Sudbury graduates,https://www.youtube.com/watch?v=Blo3w0TGnDE,
Circle of Choice: lessons from Fairhaven School,https://www.youtube.com/watch?v=VtyAOn60iSM,Sudbury-model — students & staff
Student voice: Web of Rights and democratic schooling (Fairhaven),https://www.youtube.com/watch?v=otyLqCyBMf0,
Summerhill School: leavers interview (class of 2023),https://www.youtube.com/watch?v=YknxmwVxNeg,
Summerhill — documentary visit,https://www.youtube.com/watch?v=D8ko7DGsf5s,
Boy who did not want to learn to read — *Children of Summerhill* (1998),https://www.youtube.com/watch?v=o58xTHGYzIY,student story — archival
Pupil power reigns: Summerhill School in the UK (*Learning World*),https://www.youtube.com/watch?v=ERQKi9fBRnw,news feature — student voice
Interview of a 14-year-old unschooler — kids interview,https://www.youtube.com/watch?v=jZhwilPQU_4,
She was unschooled her whole life — Q&A,https://www.youtube.com/watch?v=lxazIICIv8c,
Kids on “self-directed learning”,https://www.youtube.com/watch?v=tV8G7lZbldU,
Alternative teaching: the school where children teach themselves,https://www.youtube.com/watch?v=yIOmqt9klzk,
Interview: students (democratic school) #1,https://www.youtube.com/watch?v=FRrHa5EhOmU,student voices — sample context of school
Interview: students (democratic school) #2,https://www.youtube.com/watch?v=JUyEe05m_rA,
Interview: students (democratic school) #3,https://www.youtube.com/watch?v=xV0NDspawvk,
Traditional school vs. Sudbury Valley School,https://www.youtube.com/watch?v=IYHKbbLk7V4,
Unschooling method — day-in-the-life example,https://www.youtube.com/watch?v=v_6nwGA-fcA,
Self-directed learning: how “unschoolers” control their education — Kerry McDonald,https://www.youtube.com/watch?v=fWP_6RV6nmA,movement context — includes family/kid framing
*School Circles* — official trailer,https://www.youtube.com/watch?v=zdHNbQko6ZI,Netherlands democratic schools — student voices in film
Unschooling explained — Amanda Enclade,https://www.youtube.com/watch?v=w7w2k9GBSIk,
Do kids need school? Inside the “unschooling” movement,https://www.youtube.com/watch?v=tyLqWYMOPa4,documentary-style — verify tone before use
Playlist: Sudbury & democratic schools around the world,https://www.youtube.com/playlist?list=PLGN2PTT2O2MdeLeUp6VFwX6jSuHmp7fvW,curated mix — many child/student clips
