title,url,note
Growing Without Schooling — channel,https://www.youtube.com/c/Johnholtgws,archive / related talks
Growing Without Schooling — @Johnholtgws videos tab,https://www.youtube.com/@Johnholtgws/videos,"same channel, handle URL"
Playlist: John Holt interviews,https://www.youtube.com/playlist?list=PLxn0ddXa_6w0xXrZNE6A21IK_ZCGQ5Vb6,
Playlist: Unschooling and self-directed learning (GWS-adjacent),https://www.youtube.com/playlist?list=PLxn0ddXa_6w0WPrhlpY2nCqP5oW23x6wA,
Playlist: Voices for alternatives in learning and education,https://www.youtube.com/playlist?list=PLxn0ddXa_6w3yCDDkmIAGPCmPta4Ed9j8,
John Holt on *The Phil Donahue Show* (~1981),https://www.youtube.com/watch?v=fXLWPpln0rQ,
Interview with teacher-writer John Holt (April 1974),https://www.youtube.com/watch?v=YNZH-yWDsOI,
What is homeschooling (John Holt’s perspective) — explainer using his framing,https://www.youtube.com/watch?v=mVBZ1FUulUs,
What is *Growing Without Schooling*?,https://www.youtube.com/watch?v=8UqG7wjZj2I,
Unschooling — John Holt (excerpt from *Class Dismissed*),https://www.youtube.com/watch?v=0tH_t5HDhHc,
*Teach Your Own* — discussion / book-oriented upload,https://www.youtube.com/watch?v=RDzxifYBgdk,confirm on watch — some uploads are commentary
Patrick Farenga on homeschooling and John Holt’s line of thought,https://www.youtube.com/watch?v=IpECMKpwdUI,
*Teach Your Own* by John Holt and Pat Farenga — talk / overview,https://www.youtube.com/watch?v=b_do4AIOX3Y,
