title,url,note
Sudbury Schools: #22 Downsides,https://www.youtube.com/watch?v=Jf0iwyE_DjU,"2005 — students, staff, parents, alumni"
Sudbury School — self-directed education,https://www.youtube.com/watch?v=rWt_cWw0VyE,
Sudbury School — What If,https://www.youtube.com/watch?v=kqrxiM5bc9k,
Playlist: Sudbury & democratic schools around the world,https://www.youtube.com/playlist?list=PLGN2PTT2O2MdeLeUp6VFwX6jSuHmp7fvW,curated mix of sources
Hackschooling makes me happy — Logan LaPlante (TEDxUniversityofNevada),https://www.youtube.com/watch?v=h11u3vtcpaY,"youth voice, self-directed learning"
Democratic school education — overview,https://www.youtube.com/watch?v=RhUx1pArrO4,
Summerhill — documentary visit,https://www.youtube.com/watch?v=D8ko7DGsf5s,
*Imagine a School… Summerhill* — preview,https://www.youtube.com/watch?v=WSP_-PG3mFQ,
Teacher’s experience at Summerhill,https://www.youtube.com/watch?v=ILW3pbDZ7WU,adult narrator + school life; useful B-roll / context
From democratic free schools to… (part 1),https://www.youtube.com/watch?v=KjYELKhtDJ8,
*School Circles* — official trailer,https://www.youtube.com/watch?v=zdHNbQko6ZI,Netherlands democratic schools — student voices in film
*School Circles* — playlist (clips & extras),https://www.youtube.com/playlist?list=PLteOkiphqHDt68khZeTpEFa01qpYd45pG,
How a School Circle works — *School Circles* film,https://www.youtube.com/watch?v=yGkQdTSUPOw,
Circle of Choice: lessons from Fairhaven School,https://www.youtube.com/watch?v=VtyAOn60iSM,Sudbury-model school; students/staff on the model
Wondering School — channel,https://www.youtube.com/wonderingschool,*School Circles* / democratic education hub
Sudbury Valley School — official channel,https://www.youtube.com/c/SudburyValley,
Alpine Valley School — channel,https://www.youtube.com/alpinevalleyschool,"Sudbury-model; graduate interviews, podcast clips"
Playlist: Democratic schools (SVS-curated mix),https://www.youtube.com/playlist?list=PLfpwMY6n8JFrL-OAZwuZkK4DJF2JHUKZL,
Playlist: Sudbury model schooling (*LiberatED* and related),https://www.youtube.com/playlist?list=PLOskl2_WXJ6seJgLr8AmvVWFxzui01Qqc,
Introduction to Sudbury Valley School,https://www.youtube.com/watch?v=bIL5fADp27k,former students on experience
Sudbury Valley School: focus and intensity,https://www.youtube.com/watch?v=z43XCGBZ5RQ,student perspective
Sudbury Valley School: celebrating 50+ years of self-directed education (*LiberatED*),https://www.youtube.com/watch?v=uFXVgRerXEM,
A dad explains why he enrolled his kids at SVS,https://www.youtube.com/watch?v=g70Dp8nxxNE,
Good students & bad students — two Sudbury graduates,https://www.youtube.com/watch?v=Blo3w0TGnDE,
Learning math — Sudbury-style perspective,https://www.youtube.com/watch?v=-6H_qi1yXcY,
The growth and impact of Sudbury-model schools & spaces,https://www.youtube.com/watch?v=StQ0w8d3A3Y,movement overview — not only kids
Nurturing democratic engagement (general democratic-classroom talk),https://www.youtube.com/watch?v=kWRn7fVApxg,use if you want “democracy at school” framing beyond Sudbury
Student voice with structure: Web of Rights and democratic schooling,https://www.youtube.com/watch?v=otyLqCyBMf0,Fairhaven / democratic structure
Circle of Choice — alternate upload / cut,https://www.youtube.com/watch?v=uXdqS1f5f38,same series title as above — pick the better audio
