title,url,note
John Holt on *The Phil Donahue Show* (~1981),https://www.youtube.com/watch?v=fXLWPpln0rQ,broadcast interview — not a Short
Interview with teacher-writer John Holt (April 1974),https://www.youtube.com/watch?v=YNZH-yWDsOI,
What is homeschooling (John Holt’s perspective) — explainer using his framing,https://www.youtube.com/watch?v=mVBZ1FUulUs,
What is *Growing Without Schooling*?,https://www.youtube.com/watch?v=8UqG7wjZj2I,
Unschooling — John Holt (excerpt from *Class Dismissed*),https://www.youtube.com/watch?v=0tH_t5HDhHc,
Patrick Farenga on homeschooling and John Holt’s line of thought,https://www.youtube.com/watch?v=IpECMKpwdUI,
*Teach Your Own* by John Holt and Pat Farenga — talk / overview,https://www.youtube.com/watch?v=b_do4AIOX3Y,
Unschooling explained — Amanda Enclade,https://www.youtube.com/watch?v=w7w2k9GBSIk,
Unschooling method — day-in-the-life example,https://www.youtube.com/watch?v=v_6nwGA-fcA,
Interview of a 14-year-old unschooler — kids interview,https://www.youtube.com/watch?v=jZhwilPQU_4,
She was unschooled her whole life — Q&A,https://www.youtube.com/watch?v=lxazIICIv8c,
Kids on “self-directed learning”,https://www.youtube.com/watch?v=tV8G7lZbldU,
China’s education pressure pushes families toward homeschooling,https://www.youtube.com/watch?v=h4IdBIVX9sk,exit from compulsory pressure — overlaps thematically
