title,url,note
Is Korea’s Suneung the world’s most stressful exam? — BBC World Service,https://www.youtube.com/watch?v=Mb5x5WhKV-U,exam culture + mental health framing
How Important Is Going to University In Korea? — Asian Boss,https://www.youtube.com/watch?v=aceDquv6np8,"street interviews — hagwon hours, SKY obsession"
Taking the “Korean SAT” for the Third Time — Asian Boss,https://www.youtube.com/watch?v=gS-Id1SFkug,retakes / n-th sitters — despair & isolation themes
"School, pressure & innovative education — Founders Valley (1/5) | DW Documentary",https://www.youtube.com/watch?v=zBQWhOSDykk,"Korea segment — pressure, EdTech, policy context"
Reach for the SKY — documentary trailer (Suneung),https://www.youtube.com/watch?v=_bSlk4XRBtI,full film is licensed; see [reachfortheskydoc.com](http://www.reachfortheskydoc.com/)
Asia’s Brutal Education Is Killing Students (Literally) — video essay,https://www.youtube.com/watch?v=DDVkXdRlZBA,multi-country; **strong Korea segment + suicide statistics** — sample tone; verify any stats before narration
Why Korea Has the Highest Suicide Rate in the World — Dr. Jonathan Tam,https://www.youtube.com/watch?v=ToV2wDsAyww,sociology explainer; **dedicates a chapter to education** — verify statistics independently
The Su-neung (수능): Korea’s University Entrance Exam — street interviews (Seoul),https://www.youtube.com/watch?v=szyzMKgRTxk,"short doc — stress, sleep, “one shot” exam culture; **2009-era** upload"
Reach for the SKY — festival trailer (VisualAntics),https://www.youtube.com/watch?v=TVc3VP6T1D0,alternate cut / extra Suneung-day B-roll vs. other trailer above
Korea’s hagwon (학원) — cram-school culture explained — Didi’s Korean Podcast,https://www.youtube.com/watch?v=uqyJLOYGoyQ,"participant perspective — hours, homework, sleep, industry norms — **not** a news investigation"
